Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D37,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,22.95,-24.3,0.0,top
D38,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,22.95,-30.92,0.0,top
D39,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,22.95,-37.54,0.0,top
D40,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,22.95,-44.16,0.0,top
D41,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,22.95,-50.78,0.0,top
D42,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,22.95,-57.4,0.0,top
D43,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,31.07,-24.3,0.0,top
D44,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,31.07,-30.92,0.0,top
D45,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,31.07,-37.54,0.0,top
D46,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,31.07,-44.16,0.0,top
D47,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,31.07,-50.78,0.0,top
D48,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,31.07,-57.4,0.0,top
D49,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,39.19,-24.3,0.0,top
D50,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,39.19,-30.92,0.0,top
D51,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,39.19,-37.54,0.0,top
D52,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,39.19,-44.16,0.0,top
D53,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,39.19,-50.78,0.0,top
D54,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,39.19,-57.4,0.0,top
D55,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,47.31,-24.3,0.0,top
D56,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,47.31,-30.92,0.0,top
D57,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,47.31,-37.54,0.0,top
D58,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,47.31,-44.16,0.0,top
D59,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,47.31,-50.78,0.0,top
D60,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,47.31,-57.4,0.0,top
D61,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,55.43,-24.3,0.0,top
D62,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,55.43,-30.92,0.0,top
D63,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,55.43,-37.54,0.0,top
D64,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,55.43,-44.16,0.0,top
D65,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,55.43,-50.78,0.0,top
D66,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,55.43,-57.4,0.0,top
D67,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,63.55,-24.3,0.0,top
D68,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,63.55,-30.92,0.0,top
D69,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,63.55,-37.54,0.0,top
D70,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,63.55,-44.16,0.0,top
D71,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,63.55,-50.78,0.0,top
D72,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,63.55,-57.4,0.0,top
SW1,SW_Push,SW_PUSH_6mm,79.25,-48.7,0.0,top
SW2,SW_Push,SW_PUSH_6mm,89.25,-48.75,0.0,top
U1,XIAO-ESP32-C3-SMD,XIAO-ESP32-C3-SMD,84.0825,-33.689,0.0,top
